omega,lambda=-0.125,lambda=-0.5,lambda=-0.75,lambda=-0.875
0.020000000000000462,0.12575702181403955,0.07074181821508112,0.05197405217561288,0.04527524662044681
0.03000000000000025,0.12576323191655547,0.07074967913767878,0.05198041705860579,0.04528088152512698
0.040000000000000036,0.1257719262209583,0.07076068626377884,0.05198932962272441,0.04528877195923486
0.05000000000000071,0.12578310488798106,0.07077484142856383,0.052000791596742105,0.04529891949111854
0.0600000000000005,0.12579676812406934,0.07079214699258206,0.05201480520457502,0.04531132613835831
0.07000000000000028,0.12581291618122337,0.07081260584251924,0.05203137316618893,0.04532599436861736
0.08000000000000007,0.12583154935680413,0.07083622139214225,0.05205049869870882,0.04534292710068265
0.08999999999999986,0.12585266799330433,0.07086299758341592,0.052072185517731975,0.04536212770569701
0.10000000000000053,0.12587627247808397,0.0708929388877928,0.05209643783884574,0.04538360000858303
0.11000000000000032,0.1259023632430702,0.07092605030767704,0.05212326037935051,0.04540734828965998
0.1200000000000001,0.12593094076442143,0.07096233737806303,0.052152658360189674,0.04543337728645479
0.1299999999999999,0.1259620055621557,0.07100180616834928,0.05218463750808754,0.04546169219570861
0.14000000000000057,0.12599555819974292,0.07104446328432906,0.052219204057896706,0.04549229867558011
0.15000000000000036,0.12603159928366095,0.0710903158703581,0.05225636475515672,0.04552520284804747
0.16000000000000014,0.1260701294629154,0.07113937161170115,0.05229612685886569,0.045560411301510395
0.16999999999999993,0.1261111494285228,0.07119163873705794,0.052338498144466734,0.04559793109359453
0.1800000000000006,0.12615465991295707,0.07124712602127041,0.05238348690705142,0.0456377697541599
0.1900000000000004,0.12620066168955885,0.07130584278821195,0.05243110196478248,0.04567993528851588
0.20000000000000018,0.12624915557190775,0.07136779891386076,0.052481352662538096,0.04572443618084475
0.20999999999999996,0.12630014241315718,0.07143300482955832,0.052534248875780454,0.045771281397836795
0.22000000000000064,0.12635362310533121,0.07150147152545507,0.05258980101465106,0.045820480392539144
0.23000000000000043,0.1264095985785835,0.07157321055414459,0.052648020028296084,0.04587204310842143
0.2400000000000002,0.12646806980041803,0.0716482340344887,0.05270891740942438,0.045925979983661484
0.25,0.126529037774871,0.07172655465563472,0.05277250519910174,0.04598230195565366
0.2600000000000007,0.12659250354165394,0.0718081856812277,0.052838795991784544,0.0460410204657438
0.27000000000000046,0.12665846817525736,0.07189314095381907,0.05290780294059664,0.04610214746419401
0.28000000000000025,0.12672693278401487,0.0719814348994743,0.052979539762853044,0.04616569541538095
0.29000000000000004,0.1267978985091273,0.07207308253258199,0.05305402074583441,0.04623167730323167
0.3000000000000007,0.12687136652364633,0.07216809946086672,0.05313126075281662,0.04630010663690107
0.3100000000000005,0.12694733803141742,0.07226650189060799,0.05321127522935963,0.046370997456695234
0.3200000000000003,0.12702581426598153,0.07236830663206845,0.05329408020986024,0.0464443643402451
0.33000000000000007,0.12710679648943518,0.07247353110513374,0.05337969232437347,0.04652022240893525
0.33999999999999986,0.12719028599124854,0.07258219334516697,0.053468128805707636,0.046598587334592614
0.35000000000000053,0.12727628408704098,0.07269431200908094,0.05355940749679814,0.046679475346440374
0.3600000000000003,0.12736479211731375,0.07280990638163116,0.0536535468583655,0.04676290323832223
0.3700000000000001,0.12745581144613893,0.07292899638193273,0.053750565976863285,0.046848888376202734
0.3799999999999999,0.12754934345980512,0.07305160257020483,0.053850484572721714,0.04693744870594957
0.39000000000000057,0.1276453895654179,0.07317774615474583,0.053953323008893106,0.0470286027614035
0.40000000000000036,0.127743951189456,0.07330744899914306,0.05405910229970548,0.04712236967274282
0.41000000000000014,0.12784502977628173,0.07344073362972066,0.05416784412003109,0.047218769175148376
0.41999999999999993,0.12794862678660548,0.0735776232432294,0.05427957081477661,0.04731782161777637
0.4300000000000006,0.12805474369590375,0.07371814171478275,0.0543943054087021,0.04741954797304574
0.4400000000000004,0.12816338199278995,0.07386231360604284,0.05451207161657635,0.04752396984624778
0.4500000000000002,0.12827454317733766,0.07401016417366107,0.05463289385367624,0.047631109485485525
0.45999999999999996,0.12838822875935563,0.0741617193779773,0.0547567972466381,0.047740989791950954
0.47000000000000064,0.12850444025661376,0.07431700589198262,0.0548838076446694,0.04785363433054821
0.4800000000000004,0.12862317919301977,0.07447605111054978,0.05501395163112951,0.04796906734087166
0.4900000000000002,0.12874444709674585,0.07463888315993701,0.05514725653548839,0.04808731374854756
0.5,0.12886824549830447,0.07480553090756911,0.05528375044567254,0.048208399176948594
0.5100000000000007,0.12899457592857272,0.07497602397210183,0.05542346222080797,0.04833234995929128
0.5200000000000005,0.12912343991676506,0.07515039273377443,0.05556642150436997,0.048459193151125804
0.5300000000000002,0.12925483898835285,0.0753286683450558,0.05571265873775034,0.048588956543228964
0.54,0.12938877466293114,0.07551088274159015,0.055862205174252694,0.04872166867491108
0.5500000000000007,0.12952524845203078,0.07569706865344754,0.05601509289352702,0.04885735884774787
0.5600000000000005,0.12966426185687652,0.07588725961668534,0.05617135481645503,0.04899605713974901
0.5700000000000003,0.12980581636608904,0.07608148998522729,0.056331024720498536,0.049137794419975594
0.5800000000000001,0.12994991345333137,0.07627979494306542,0.05649413725552303,0.049282602363618824
0.5899999999999999,0.13009655457489822,0.07648221051679226,0.05666072796010941,0.04943051346755303
0.6000000000000005,0.1302457411672478,0.07668877358846947,0.05683083327836746,0.04958156106637651
0.6100000000000003,0.13039747464447532,0.07689952190883982,0.057004490577264616,0.049735779348954144
0.6200000000000001,0.1305517563957276,0.07711449411088982,0.05718173816448475,0.04989320337547645
0.6299999999999999,0.13070858778255778,0.07733372972376978,0.05736261530683143,0.050053869095049976
0.6400000000000006,0.13086797013621945,0.0775572691870792,0.05754716224919159,0.05021781336383472
0.6500000000000004,0.13102990475489967,0.0777851538655246,0.05773542023407518,0.05038507396374497
0.6600000000000001,0.1311943929008899,0.07801742606395848,0.05792743152174776,0.05055568962173021
0.6699999999999999,0.13136143579769416,0.07825412904280635,0.058123239410972846,0.05072970002965367
0.6800000000000006,0.13153103462707336,0.07849530703389108,0.05832288826038229,0.05090714586478667
0.6900000000000004,0.1317031905260257,0.07874100525666254,0.058526423510492635,0.05108806881093756
0.7000000000000002,0.13187790458370166,0.07899126993484144,0.058733891706387265,0.05127251158023486
0.71,0.13205517783825318,0.07924614831348627,0.05894534052108353,0.051460517935584864
